age,ratings,weather,traffic,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city_type,time_taken,is_weekend,pickup_time_minutes,order_time_of_day,distance,distance_type
36.0,4.7,sandstorms,low,2,buffet,electric_scooter,1.0,no,metropolitian,29,0,15.0,morning,1.5297232853100244,short
36.0,4.4,sandstorms,jam,2,snack,scooter,1.0,no,urban,31,0,15.0,evening,9.326577421221064,medium
31.0,4.8,sunny,medium,0,meal,motorcycle,1.0,no,metropolitian,26,1,5.0,afternoon,9.315729044609784,medium
34.0,4.9,fog,jam,0,buffet,motorcycle,0.0,no,metropolitian,34,0,10.0,evening,9.219905581616992,medium
25.0,4.7,fog,jam,0,snack,motorcycle,0.0,no,metropolitian,23,1,10.0,night,7.763102784727143,medium
39.0,4.7,sandstorms,low,2,buffet,scooter,0.0,no,metropolitian,21,1,10.0,night,10.485869597395448,long
24.0,4.7,sandstorms,medium,0,meal,motorcycle,1.0,no,metropolitian,26,0,10.0,afternoon,6.080888252609821,medium
29.0,4.9,cloudy,jam,0,drinks,motorcycle,1.0,no,metropolitian,23,0,15.0,night,7.601681384871197,medium
34.0,4.0,sandstorms,jam,0,meal,motorcycle,1.0,no,urban,35,1,10.0,evening,12.256046315965444,long
25.0,4.4,windy,jam,0,buffet,motorcycle,1.0,no,metropolitian,32,1,15.0,night,,
34.0,4.7,stormy,high,0,meal,motorcycle,1.0,no,urban,41,1,5.0,morning,1.4906380442411205,short
34.0,4.8,sunny,jam,0,meal,motorcycle,1.0,no,metropolitian,20,1,15.0,evening,7.763197145328887,medium
38.0,4.8,sandstorms,low,1,drinks,scooter,1.0,no,metropolitian,27,0,15.0,morning,1.5544994921789963,short
33.0,4.9,sandstorms,low,2,meal,scooter,1.0,no,metropolitian,24,1,5.0,night,16.64663439144687,very_long
38.0,4.1,cloudy,low,1,drinks,scooter,1.0,no,metropolitian,31,1,10.0,night,11.719471817434323,long
23.0,4.7,windy,low,1,buffet,scooter,0.0,no,urban,16,0,5.0,night,13.78666969363518,long
29.0,4.8,windy,jam,1,drinks,motorcycle,0.0,no,metropolitian,14,1,15.0,evening,9.31399060766806,medium
22.0,4.8,sandstorms,jam,0,meal,motorcycle,1.0,no,metropolitian,26,1,15.0,evening,9.081270101191445,medium
34.0,4.1,stormy,medium,0,drinks,motorcycle,2.0,no,metropolitian,45,0,5.0,evening,19.675003918662792,very_long
35.0,4.8,stormy,jam,0,meal,motorcycle,1.0,yes,metropolitian,47,0,5.0,night,12.256687342592269,long
30.0,4.6,sandstorms,medium,1,meal,motorcycle,0.0,no,metropolitian,29,1,5.0,afternoon,16.388699354723066,very_long
,,sunny,jam,0,buffet,motorcycle,1.0,no,metropolitian,26,0,,,4.674220356187267,short
31.0,5.0,cloudy,jam,2,snack,scooter,0.0,no,metropolitian,28,0,15.0,night,4.540575857362341,short
28.0,4.5,sandstorms,high,2,meal,scooter,0.0,no,metropolitian,16,0,5.0,afternoon,6.049765396707469,medium
38.0,4.7,windy,low,0,meal,motorcycle,0.0,no,metropolitian,26,0,15.0,night,19.36770197203108,very_long
39.0,4.6,cloudy,medium,1,buffet,motorcycle,2.0,no,metropolitian,39,0,15.0,evening,10.485698499568803,long
24.0,4.8,cloudy,jam,0,buffet,motorcycle,1.0,no,metropolitian,28,0,10.0,night,7.600983953739401,medium
,,stormy,jam,0,drinks,motorcycle,,no,metropolitian,36,0,,,7.546876906900249,medium
32.0,4.6,cloudy,medium,0,meal,motorcycle,3.0,no,metropolitian,45,0,5.0,afternoon,13.5874308810486,long
23.0,4.9,sandstorms,low,1,drinks,motorcycle,0.0,no,metropolitian,10,0,15.0,morning,1.5527001159059903,short
22.0,4.9,stormy,low,1,drinks,scooter,0.0,no,urban,19,0,15.0,morning,3.0734537599377685,short
37.0,5.0,sunny,medium,2,snack,motorcycle,1.0,no,metropolitian,28,0,15.0,afternoon,19.688394563498186,very_long
25.0,4.9,cloudy,low,2,meal,scooter,0.0,no,metropolitian,23,1,15.0,night,12.463962426993913,long
25.0,4.7,sunny,jam,1,meal,scooter,0.0,no,urban,11,1,15.0,night,9.054052950169496,medium
35.0,5.0,stormy,low,1,drinks,motorcycle,1.0,no,urban,24,0,15.0,morning,1.5322236104030795,short
28.0,4.5,stormy,medium,1,buffet,scooter,1.0,no,metropolitian,28,0,5.0,evening,4.537516076226438,short
35.0,4.0,sandstorms,low,0,snack,motorcycle,1.0,no,metropolitian,21,0,15.0,morning,3.020142428966553,short
21.0,4.5,windy,high,0,snack,motorcycle,1.0,no,metropolitian,19,0,10.0,afternoon,6.051108888205775,medium
34.0,4.1,sandstorms,medium,0,meal,motorcycle,1.0,no,metropolitian,38,0,10.0,afternoon,4.596251207088927,short
36.0,4.8,cloudy,jam,1,meal,scooter,1.0,no,urban,38,0,10.0,evening,16.722548420715,very_long
29.0,4.3,sandstorms,high,0,buffet,motorcycle,1.0,no,metropolitian,36,1,10.0,morning,1.5091393275325462,short
26.0,4.7,cloudy,jam,0,buffet,motorcycle,0.0,no,metropolitian,25,0,10.0,night,4.528183776759067,short
31.0,4.8,fog,jam,1,drinks,scooter,1.0,no,metropolitian,35,1,5.0,evening,4.589124571257244,short
39.0,4.8,fog,low,2,buffet,scooter,1.0,no,,15,0,15.0,night,7.790158927084966,medium
35.0,4.8,sunny,low,2,drinks,motorcycle,1.0,no,metropolitian,15,0,10.0,morning,3.02508632954624,short
30.0,4.9,sandstorms,jam,1,snack,motorcycle,1.0,no,metropolitian,29,0,5.0,night,16.636808584025776,very_long
37.0,4.7,fog,jam,0,snack,motorcycle,2.0,no,metropolitian,45,1,10.0,night,16.59866734050554,very_long
27.0,4.6,windy,medium,0,buffet,motorcycle,0.0,no,metropolitian,14,0,5.0,evening,9.192571532077611,medium
31.0,4.6,cloudy,jam,1,meal,scooter,0.0,no,metropolitian,38,0,10.0,evening,13.68148555689137,long
30.0,4.6,windy,low,2,meal,scooter,1.0,no,metropolitian,26,0,10.0,,17.076492495612452,very_long
32.0,4.7,sunny,jam,2,meal,scooter,1.0,no,metropolitian,25,0,15.0,evening,10.88065184853556,long
28.0,4.8,cloudy,low,1,buffet,scooter,0.0,no,,10,0,10.0,night,,
29.0,4.8,sandstorms,medium,0,buffet,motorcycle,0.0,no,metropolitian,34,0,10.0,afternoon,12.29272274148856,long
35.0,4.7,stormy,low,0,meal,motorcycle,0.0,no,metropolitian,23,1,15.0,night,13.971950882978046,long
35.0,4.9,fog,high,0,drinks,motorcycle,1.0,no,metropolitian,33,0,5.0,morning,3.020331426457926,short
32.0,4.9,fog,medium,0,snack,motorcycle,1.0,no,metropolitian,28,0,15.0,afternoon,7.546267706957737,medium
27.0,4.9,stormy,jam,2,buffet,scooter,1.0,no,metropolitian,16,1,5.0,night,9.220449825751995,medium
39.0,4.7,cloudy,low,0,snack,motorcycle,1.0,no,metropolitian,27,0,10.0,night,7.546800541055753,medium
28.0,4.7,sandstorms,low,1,snack,motorcycle,1.0,no,urban,18,0,10.0,morning,,
36.0,4.6,cloudy,low,2,buffet,motorcycle,1.0,no,metropolitian,17,1,10.0,morning,,
32.0,4.9,sunny,low,0,meal,motorcycle,0.0,no,metropolitian,22,0,15.0,morning,1.5441981810254255,short
33.0,4.3,sandstorms,medium,1,meal,scooter,1.0,no,metropolitian,31,0,15.0,afternoon,,
26.0,4.7,cloudy,jam,2,snack,electric_scooter,1.0,no,urban,34,0,10.0,evening,7.648322354566645,medium
20.0,4.9,sunny,jam,1,buffet,motorcycle,1.0,no,metropolitian,11,0,15.0,evening,17.074806111801863,very_long
26.0,4.6,windy,jam,0,drinks,motorcycle,0.0,no,metropolitian,16,0,10.0,evening,7.573225613488764,medium
37.0,4.8,windy,medium,2,drinks,motorcycle,1.0,no,metropolitian,28,0,5.0,afternoon,6.058853851669116,medium
22.0,4.9,stormy,jam,1,drinks,motorcycle,0.0,no,metropolitian,29,1,15.0,night,10.427235657896496,long
37.0,4.6,stormy,high,1,meal,scooter,1.0,no,metropolitian,25,0,5.0,morning,3.104632093351237,short
37.0,4.5,cloudy,low,2,meal,scooter,1.0,no,metropolitian,34,0,10.0,night,12.209940785785736,long
28.0,5.0,fog,medium,0,drinks,motorcycle,1.0,no,metropolitian,27,0,5.0,evening,7.660840811905797,medium
37.0,4.8,sunny,low,2,drinks,scooter,0.0,no,metropolitian,18,0,10.0,morning,2.9962420081483025,short
29.0,4.8,cloudy,jam,1,drinks,scooter,1.0,no,metropolitian,39,0,15.0,evening,17.073813051007523,very_long
24.0,4.7,cloudy,jam,1,drinks,scooter,1.0,no,urban,28,0,15.0,evening,4.544267482984226,short
31.0,4.8,sunny,low,0,buffet,motorcycle,1.0,no,metropolitian,29,1,10.0,morning,1.509467584367178,short
25.0,4.1,windy,low,0,snack,motorcycle,0.0,no,metropolitian,17,1,10.0,morning,3.059554247595471,short
24.0,4.8,sunny,jam,1,buffet,scooter,0.0,no,metropolitian,12,0,5.0,evening,10.641042055468692,long
24.0,4.6,sunny,jam,2,buffet,scooter,1.0,no,urban,10,0,15.0,evening,4.674184358398377,short
31.0,5.0,stormy,low,2,meal,motorcycle,1.0,no,metropolitian,26,0,10.0,night,9.262902940888347,medium
31.0,4.9,sunny,jam,0,drinks,motorcycle,1.0,no,metropolitian,28,0,15.0,evening,9.05536131845396,medium
31.0,4.7,sandstorms,low,2,meal,motorcycle,1.0,no,metropolitian,27,0,15.0,night,9.075387359616569,medium
33.0,4.8,sunny,low,1,buffet,scooter,1.0,no,metropolitian,15,0,5.0,morning,1.5525629397903205,short
,,cloudy,jam,2,snack,scooter,2.0,no,metropolitian,37,0,,,10.711191521545718,long
28.0,4.9,stormy,low,2,snack,electric_scooter,1.0,no,metropolitian,16,1,10.0,night,20.176414243687518,very_long
35.0,4.6,sunny,low,0,drinks,motorcycle,1.0,no,metropolitian,22,0,15.0,night,19.91703823583007,very_long
24.0,5.0,windy,jam,0,snack,motorcycle,,no,urban,17,0,15.0,night,9.326872529115304,medium
34.0,4.6,sandstorms,medium,1,meal,scooter,1.0,no,metropolitian,31,0,15.0,afternoon,7.631714121877215,medium
20.0,4.4,fog,jam,1,buffet,motorcycle,2.0,no,metropolitian,41,0,10.0,evening,16.72115728076054,very_long
24.0,4.8,sandstorms,low,2,drinks,electric_scooter,0.0,no,urban,12,0,10.0,morning,1.558137239175215,short
21.0,4.8,sandstorms,low,2,drinks,electric_scooter,1.0,no,metropolitian,17,1,15.0,night,10.707006464770936,long
23.0,4.9,stormy,jam,1,drinks,motorcycle,1.0,no,metropolitian,29,0,10.0,night,10.8682628201097,long
27.0,5.0,cloudy,medium,0,meal,motorcycle,0.0,no,metropolitian,20,1,5.0,afternoon,4.39522525342693,short
39.0,4.6,fog,jam,0,meal,motorcycle,1.0,no,metropolitian,32,0,15.0,evening,7.790525266841046,medium
28.0,4.9,fog,low,2,buffet,motorcycle,1.0,no,urban,10,0,5.0,morning,1.5295062057776052,short
25.0,4.5,windy,low,1,buffet,scooter,1.0,no,metropolitian,15,0,10.0,morning,,
33.0,4.9,sandstorms,jam,2,snack,motorcycle,0.0,no,metropolitian,29,0,15.0,night,7.460943738451426,medium
32.0,4.3,stormy,jam,0,snack,motorcycle,2.0,no,metropolitian,35,0,10.0,evening,,
38.0,4.9,sandstorms,high,1,drinks,motorcycle,1.0,no,metropolitian,31,0,5.0,morning,1.552293346166142,short
,,sunny,low,2,buffet,scooter,1.0,no,urban,35,0,,,17.09838536204264,very_long
26.0,4.9,windy,medium,1,buffet,motorcycle,1.0,no,metropolitian,26,0,5.0,afternoon,19.688565914789702,very_long
,,sandstorms,low,1,meal,scooter,,no,urban,17,0,15.0,night,10.756185975480651,long
38.0,4.8,stormy,low,1,buffet,motorcycle,1.0,no,metropolitian,20,0,5.0,morning,3.1048037532854496,short
23.0,4.6,fog,low,1,drinks,scooter,0.0,no,metropolitian,20,0,15.0,night,13.989852322089256,long
39.0,4.1,fog,medium,2,buffet,motorcycle,1.0,no,urban,35,0,15.0,evening,16.63541627418215,very_long
30.0,4.6,fog,jam,0,buffet,motorcycle,0.0,no,urban,43,1,15.0,night,12.292848945038813,long
25.0,5.0,windy,high,2,buffet,scooter,1.0,no,metropolitian,16,0,15.0,morning,3.1048037532854496,short
34.0,5.0,sunny,low,1,buffet,scooter,1.0,no,metropolitian,29,0,10.0,night,19.615926964388624,very_long
36.0,4.5,windy,medium,2,meal,motorcycle,1.0,no,metropolitian,33,0,15.0,evening,16.721971571134954,very_long
,,windy,jam,1,snack,motorcycle,1.0,no,metropolitian,27,0,10.0,evening,,
27.0,4.9,cloudy,jam,2,drinks,motorcycle,0.0,no,metropolitian,25,0,15.0,night,7.761726486394523,medium
37.0,5.0,windy,low,1,drinks,motorcycle,1.0,no,urban,29,0,5.0,night,7.601362669750945,medium
23.0,4.6,stormy,high,0,meal,motorcycle,1.0,no,metropolitian,26,0,10.0,morning,3.025377321543807,short
39.0,4.9,cloudy,low,2,buffet,motorcycle,0.0,no,urban,15,0,10.0,morning,1.5441981810254255,short
26.0,4.9,stormy,low,0,buffet,motorcycle,0.0,no,metropolitian,15,0,15.0,night,13.615833459011268,long
29.0,4.9,sandstorms,jam,1,drinks,scooter,0.0,no,urban,28,1,10.0,evening,13.768718508386597,long
36.0,4.5,cloudy,jam,0,meal,motorcycle,1.0,no,metropolitian,41,0,15.0,evening,12.435302723482724,long
26.0,4.9,stormy,jam,0,meal,motorcycle,0.0,no,metropolitian,20,0,15.0,evening,4.469157679084987,short
33.0,4.9,sunny,low,2,meal,electric_scooter,1.0,no,urban,24,1,10.0,night,17.16552279552974,very_long
,,stormy,medium,1,snack,motorcycle,1.0,no,metropolitian,29,0,,,10.64115772933754,long
30.0,4.9,sandstorms,low,2,drinks,motorcycle,1.0,no,metropolitian,24,0,15.0,night,7.660957436559021,medium
33.0,4.5,fog,medium,1,meal,motorcycle,1.0,no,metropolitian,30,1,5.0,evening,20.253785359470783,very_long
22.0,4.7,stormy,jam,2,meal,scooter,0.0,no,metropolitian,20,0,15.0,night,8.937863682516157,medium
27.0,4.5,stormy,jam,1,drinks,motorcycle,1.0,no,metropolitian,15,0,10.0,night,20.252967850083056,very_long
30.0,4.4,stormy,jam,1,snack,scooter,0.0,no,urban,32,0,15.0,night,20.253258047708663,very_long
38.0,4.5,sunny,jam,1,buffet,scooter,1.0,no,urban,30,0,15.0,night,16.36831020944837,very_long
38.0,4.5,sunny,jam,2,drinks,scooter,1.0,no,metropolitian,32,0,5.0,evening,19.914688541860013,very_long
39.0,4.8,sandstorms,high,1,snack,scooter,0.0,no,metropolitian,26,0,15.0,afternoon,6.210098947886509,medium
28.0,4.7,fog,low,2,buffet,electric_scooter,1.0,no,metropolitian,28,0,10.0,night,10.757014337994882,long
34.0,4.0,stormy,jam,0,meal,motorcycle,1.0,no,metropolitian,49,0,5.0,evening,9.219783818326418,medium
32.0,3.6,windy,jam,1,snack,scooter,1.0,no,,41,1,15.0,night,17.076492495612452,very_long
38.0,4.8,fog,low,2,meal,scooter,0.0,no,metropolitian,18,0,10.0,morning,3.0605561405264683,short
34.0,4.7,sandstorms,medium,0,snack,motorcycle,1.0,no,metropolitian,31,1,10.0,evening,9.058825022192163,medium
25.0,4.8,fog,jam,0,snack,motorcycle,1.0,no,metropolitian,37,0,5.0,evening,,
27.0,4.5,cloudy,jam,0,snack,motorcycle,0.0,no,metropolitian,22,1,10.0,night,9.179276688028636,medium
30.0,5.0,sandstorms,jam,1,meal,motorcycle,1.0,no,urban,28,0,5.0,night,7.790177003822013,medium
20.0,4.9,stormy,jam,2,meal,motorcycle,1.0,no,metropolitian,18,1,15.0,evening,14.022253080995233,long
38.0,4.6,sunny,jam,1,drinks,motorcycle,1.0,no,metropolitian,26,0,5.0,evening,12.100062421152574,long
33.0,4.7,fog,medium,2,snack,motorcycle,0.0,no,metropolitian,17,0,5.0,afternoon,9.074684164326316,medium
28.0,4.9,sunny,low,1,drinks,scooter,1.0,no,metropolitian,20,1,15.0,morning,1.5545771256173964,short
27.0,5.0,sandstorms,jam,0,meal,motorcycle,0.0,no,metropolitian,27,0,5.0,evening,7.803338533820035,medium
28.0,4.7,stormy,jam,0,meal,motorcycle,1.0,no,metropolitian,30,0,10.0,evening,9.313691518325752,medium
28.0,4.7,fog,high,2,snack,motorcycle,1.0,no,metropolitian,30,1,10.0,afternoon,6.210060323088704,medium
29.0,4.6,windy,low,2,buffet,electric_scooter,0.0,no,metropolitian,19,0,15.0,night,4.560890658020926,short
34.0,4.1,sandstorms,medium,1,snack,motorcycle,0.0,no,metropolitian,32,0,10.0,afternoon,14.022253080995233,long
31.0,4.6,windy,medium,2,buffet,electric_scooter,0.0,no,metropolitian,27,0,15.0,afternoon,6.210618323092562,medium
21.0,4.6,sandstorms,low,1,buffet,scooter,1.0,no,metropolitian,18,0,5.0,night,4.663600819587387,short
27.0,4.6,stormy,jam,2,buffet,motorcycle,1.0,no,metropolitian,25,1,5.0,evening,,
32.0,3.7,sandstorms,jam,2,snack,motorcycle,1.0,no,metropolitian,42,0,5.0,night,20.068696929514367,very_long
38.0,4.3,stormy,jam,1,drinks,motorcycle,1.0,no,urban,33,1,15.0,night,4.610456146048326,short
29.0,4.9,windy,jam,2,meal,motorcycle,1.0,no,metropolitian,27,0,5.0,evening,20.07079010576581,very_long
20.0,4.9,cloudy,medium,0,snack,motorcycle,1.0,no,metropolitian,41,0,5.0,evening,19.894269594418525,very_long
25.0,4.6,fog,medium,2,snack,scooter,1.0,no,metropolitian,33,0,5.0,evening,10.703215446671855,long
25.0,5.0,sandstorms,medium,0,snack,motorcycle,1.0,no,,29,1,5.0,evening,8.938093974530164,medium
28.0,4.9,fog,low,1,snack,motorcycle,1.0,no,metropolitian,27,0,5.0,night,,
35.0,4.9,sunny,medium,0,meal,motorcycle,1.0,no,urban,30,0,10.0,afternoon,12.463883024166655,long
38.0,4.7,windy,low,1,snack,motorcycle,0.0,no,metropolitian,25,1,5.0,,,
25.0,4.9,sunny,low,0,snack,motorcycle,1.0,no,metropolitian,23,0,15.0,night,16.849904095492622,very_long
25.0,4.7,cloudy,high,0,drinks,motorcycle,0.0,no,metropolitian,22,1,5.0,afternoon,6.081139317039376,medium
22.0,4.7,stormy,low,2,buffet,motorcycle,0.0,no,urban,10,0,5.0,morning,3.11617292179438,short
39.0,5.0,sandstorms,jam,2,drinks,motorcycle,1.0,no,metropolitian,26,0,10.0,night,4.469154959264031,short
20.0,4.7,sandstorms,medium,2,snack,scooter,1.0,no,urban,16,0,5.0,afternoon,12.256687342592269,long
31.0,4.9,fog,low,2,drinks,scooter,0.0,no,urban,15,1,10.0,morning,1.554506332708861,short
26.0,4.8,sandstorms,jam,0,snack,motorcycle,1.0,no,metropolitian,28,1,15.0,evening,12.16161548161981,long
30.0,4.5,fog,low,1,drinks,motorcycle,1.0,no,metropolitian,31,0,15.0,night,13.973727486522968,long
35.0,4.5,windy,low,2,drinks,scooter,1.0,no,metropolitian,24,1,10.0,night,7.790401204068506,medium
29.0,4.9,stormy,jam,2,meal,scooter,1.0,no,urban,21,0,15.0,evening,,
29.0,4.8,windy,jam,2,snack,scooter,0.0,no,metropolitian,28,1,10.0,evening,19.39661829066159,very_long
23.0,4.6,sunny,medium,0,buffet,motorcycle,0.0,no,metropolitian,26,0,5.0,evening,16.63579806090435,very_long
29.0,4.9,cloudy,high,1,buffet,motorcycle,1.0,no,metropolitian,20,0,5.0,morning,6.217860689144307,medium
36.0,4.9,windy,low,2,buffet,scooter,1.0,no,metropolitian,24,0,10.0,night,16.72129600980331,very_long
25.0,5.0,sunny,high,1,buffet,scooter,0.0,no,urban,13,0,10.0,morning,6.116971669682334,medium
35.0,4.7,windy,medium,0,snack,motorcycle,0.0,no,urban,27,0,15.0,afternoon,4.610254758948449,short
22.0,4.2,windy,low,0,buffet,motorcycle,1.0,no,urban,23,0,15.0,morning,3.073397297636044,short
28.0,4.6,fog,low,0,snack,motorcycle,1.0,no,urban,24,1,5.0,night,19.688308620509066,very_long
28.0,4.8,stormy,medium,0,drinks,motorcycle,1.0,no,metropolitian,33,1,10.0,afternoon,20.25375174504926,very_long
27.0,4.6,stormy,jam,1,meal,motorcycle,1.0,no,metropolitian,14,0,10.0,evening,7.573462889023675,medium
36.0,4.7,windy,medium,0,buffet,motorcycle,1.0,no,metropolitian,45,1,10.0,evening,10.641495972351702,long
25.0,4.8,sandstorms,medium,2,buffet,electric_scooter,1.0,no,metropolitian,26,0,10.0,evening,4.65819360783491,short
20.0,4.7,sandstorms,medium,2,meal,motorcycle,1.0,no,urban,24,1,15.0,evening,4.561269432005461,short
34.0,4.6,sunny,jam,2,meal,scooter,0.0,no,metropolitian,25,0,15.0,evening,13.972131143083212,long
39.0,4.7,fog,low,2,snack,scooter,0.0,no,urban,15,0,5.0,morning,1.5128534404983929,short
29.0,4.8,sandstorms,jam,1,drinks,scooter,0.0,no,metropolitian,19,0,5.0,evening,,
,,sunny,medium,2,buffet,scooter,,no,metropolitian,12,1,,,6.208827615119002,medium
39.0,4.3,cloudy,low,0,meal,motorcycle,1.0,no,metropolitian,42,1,15.0,night,,
34.0,4.6,fog,medium,2,meal,electric_scooter,0.0,no,metropolitian,18,1,5.0,evening,7.449051156906713,medium
21.0,4.8,fog,high,1,drinks,motorcycle,1.0,no,metropolitian,30,0,10.0,afternoon,6.05884411746293,medium
29.0,4.9,windy,medium,0,meal,motorcycle,1.0,no,metropolitian,24,1,15.0,afternoon,20.182068898087746,very_long
22.0,4.9,sunny,high,1,meal,motorcycle,0.0,no,metropolitian,10,0,10.0,morning,,
28.0,4.9,stormy,jam,0,meal,motorcycle,1.0,no,metropolitian,16,0,10.0,night,9.1573304814271,medium
30.0,4.9,fog,low,0,buffet,motorcycle,1.0,no,metropolitian,28,0,15.0,night,8.789760927394884,medium
28.0,5.0,windy,low,0,snack,motorcycle,0.0,no,urban,15,0,10.0,night,13.73594217639692,long
35.0,5.0,stormy,jam,2,snack,scooter,0.0,no,urban,25,1,10.0,evening,19.67502981142077,very_long
35.0,4.7,cloudy,jam,0,drinks,motorcycle,1.0,no,metropolitian,52,1,5.0,evening,13.621549892287804,long
36.0,4.9,stormy,high,1,meal,motorcycle,0.0,no,metropolitian,29,1,15.0,afternoon,6.146746629962817,medium
38.0,4.6,cloudy,medium,0,drinks,motorcycle,1.0,no,metropolitian,25,1,5.0,evening,4.537905323142914,short
,,,,3,snack,scooter,0.0,no,metropolitian,14,1,,,,
24.0,4.6,fog,high,2,buffet,motorcycle,1.0,no,metropolitian,20,1,10.0,morning,6.081596950437154,medium
